,-0.066,-0.848,0.574
4291,-0.102,-0.816,0.543
4292,-0.109,-0.809,0.539
4293,-0.117,-0.801,0.527
4294,-0.125,-0.809,0.52
4295,-0.125,-0.816,0.516
4296,-0.121,-0.824,0.516
4297,-0.121,-0.832,0.523
4298,-0.113,-0.832,0.527
4299,-0.109,-0.813,0.539
4300,-0.105,-0.793,0.539
4301,-0.109,-0.781,0.543
4302,-0.109,-0.777,0.539
4303,-0.109,-0.777,0.531
4304,-0.117,-0.793,0.516
4305,-0.117,-0.832,0.516
4306,-0.113,-0.91,0.527
4307,-0.098,-0.996,0.531
4308,-0.078,-1.059,0.527
4309,-0.039,-1.055,0.547
4310,0.004,-1.004,0.566
4311,0.035,-0.938,0.586
4312,0.043,-0.902,0.602
4313,0.035,-0.902,0.602
4314,0.023,-0.914,0.598
4315,0.023,-0.914,0.602
4316,0.027,-0.898,0.594
4317,0.035,-0.879,0.582
4318,0.043,-0.848,0.563
4319,0.047,-0.832,0.547
4320,0.047,-0.82,0.535
4321,0.035,-0.82,0.535
4322,0.031,-0.813,0.543
4323,0.031,-0.809,0.547
4324,0.031,-0.816,0.559
4325,0.043,-0.824,0.566
4326,0.051,-0.836,0.57
4327,0.055,-0.832,0.566
4328,0.055,-0.816,0.57
4329,0.059,-0.809,0.566
4330,0.066,-0.801,0.563
